date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:50:28	18450/18450	---MCZ	200	added ('OK')	text/html	etag:W/%225f8c60e0-4812%22	https://bootstrap-ecommerce.com/templates/alistyle-html/page-detail-product.html	C:/Users/91972/OneDrive/Desktop/frontendtemplate/bootstrap-ecommerce.com/templates/alistyle-html/page-detail-product.html	(from https://bootstrap-ecommerce.com/templates/alistyle-html/page-index.html)
10:50:28	11904/11904	---MCZ	200	added ('OK')	text/html	etag:W/%225f8c60dc-2e80%22	https://bootstrap-ecommerce.com/templates/alistyle-html/page-content.html	C:/Users/91972/OneDrive/Desktop/frontendtemplate/bootstrap-ecommerce.com/templates/alistyle-html/page-content.html	(from https://bootstrap-ecommerce.com/templates/alistyle-html/page-index.html)
10:50:29	7645/7645	---MCZ	200	added ('OK')	text/html	etag:W/%225f8c6126-1ddd%22	https://bootstrap-ecommerce.com/templates/alistyle-html/page-user-login.html	C:/Users/91972/OneDrive/Desktop/frontendtemplate/bootstrap-ecommerce.com/templates/alistyle-html/page-user-login.html	(from https://bootstrap-ecommerce.com/templates/alistyle-html/page-index.html)
10:50:29	9231/9231	---MCZ	200	added ('OK')	text/html	etag:W/%225f8c6129-240f%22	https://bootstrap-ecommerce.com/templates/alistyle-html/page-user-register.html	C:/Users/91972/OneDrive/Desktop/frontendtemplate/bootstrap-ecommerce.com/templates/alistyle-html/page-user-register.html	(from https://bootstrap-ecommerce.com/templates/alistyle-html/page-index.html)
10:50:29	13096/13096	---MCZ	200	added ('OK')	text/html	etag:W/%225f8c6105-3328%22	https://bootstrap-ecommerce.com/templates/alistyle-html/page-profile-main.html	C:/Users/91972/OneDrive/Desktop/frontendtemplate/bootstrap-ecommerce.com/templates/alistyle-html/page-profile-main.html	(from https://bootstrap-ecommerce.com/templates/alistyle-html/page-index.html)
10:50:30	15952/15952	---MCZ	200	added ('OK')	text/html	etag:W/%225f8c6109-3e50%22	https://bootstrap-ecommerce.com/templates/alistyle-html/page-profile-orders.html	C:/Users/91972/OneDrive/Desktop/frontendtemplate/bootstrap-ecommerce.com/templates/alistyle-html/page-profile-orders.html	(from https://bootstrap-ecommerce.com/templates/alistyle-html/page-index.html)
10:50:30	14407/14407	---MCZ	200	added ('OK')	text/html	etag:W/%225f8c610d-3847%22	https://bootstrap-ecommerce.com/templates/alistyle-html/page-profile-seller.html	C:/Users/91972/OneDrive/Desktop/frontendtemplate/bootstrap-ecommerce.com/templates/alistyle-html/page-profile-seller.html	(from https://bootstrap-ecommerce.com/templates/alistyle-html/page-index.html)
10:50:30	12009/12009	---MCZ	200	added ('OK')	text/html	etag:W/%225f8c611c-2ee9%22	https://bootstrap-ecommerce.com/templates/alistyle-html/page-profile-wishlist.html	C:/Users/91972/OneDrive/Desktop/frontendtemplate/bootstrap-ecommerce.com/templates/alistyle-html/page-profile-wishlist.html	(from https://bootstrap-ecommerce.com/templates/alistyle-html/page-index.html)
10:50:31	12032/12032	---MCZ	200	added ('OK')	text/html	etag:W/%225f8c6116-2f00%22	https://bootstrap-ecommerce.com/templates/alistyle-html/page-profile-setting.html	C:/Users/91972/OneDrive/Desktop/frontendtemplate/bootstrap-ecommerce.com/templates/alistyle-html/page-profile-setting.html	(from https://bootstrap-ecommerce.com/templates/alistyle-html/page-index.html)
10:50:31	11782/11782	---MCZ	200	added ('OK')	text/html	etag:W/%225f8c6101-2e06%22	https://bootstrap-ecommerce.com/templates/alistyle-html/page-profile-address.html	C:/Users/91972/OneDrive/Desktop/frontendtemplate/bootstrap-ecommerce.com/templates/alistyle-html/page-profile-address.html	(from https://bootstrap-ecommerce.com/templates/alistyle-html/page-index.html)
10:50:31	33138/33138	---MCZ	200	added ('OK')	text/html	etag:W/%225f6f6873-8172%22	https://bootstrap-ecommerce.com/templates/alistyle-html/rtl-page-index-1.html	C:/Users/91972/OneDrive/Desktop/frontendtemplate/bootstrap-ecommerce.com/templates/alistyle-html/rtl-page-index-1.html	(from https://bootstrap-ecommerce.com/templates/alistyle-html/page-index.html)
10:50:32	2115/2115	---MCZ	200	added ('OK')	text/html	etag:W/%225f8c60ce-843%22	https://bootstrap-ecommerce.com/templates/alistyle-html/page-components.html	C:/Users/91972/OneDrive/Desktop/frontendtemplate/bootstrap-ecommerce.com/templates/alistyle-html/page-components.html	(from https://bootstrap-ecommerce.com/templates/alistyle-html/page-index.html)
10:50:32	40941/40941	---M--	200	added ('OK')	image/jpeg	etag:%225f13fd81-9fed%22	https://bootstrap-ecommerce.com/templates/alistyle-html/images/banners/slide1.jpg	C:/Users/91972/OneDrive/Desktop/frontendtemplate/bootstrap-ecommerce.com/templates/alistyle-html/images/banners/slide1.jpg	(from https://bootstrap-ecommerce.com/templates/alistyle-html/page-index.html)
10:50:33	38528/38528	---M--	200	added ('OK')	image/jpeg	etag:%225f13fda2-9680%22	https://bootstrap-ecommerce.com/templates/alistyle-html/images/banners/slide2.jpg	C:/Users/91972/OneDrive/Desktop/frontendtemplate/bootstrap-ecommerce.com/templates/alistyle-html/images/banners/slide2.jpg	(from https://bootstrap-ecommerce.com/templates/alistyle-html/page-index.html)
10:50:33	53799/53799	---M--	200	added ('OK')	image/jpeg	etag:%225f13fde1-d227%22	https://bootstrap-ecommerce.com/templates/alistyle-html/images/banners/slide3.jpg	C:/Users/91972/OneDrive/Desktop/frontendtemplate/bootstrap-ecommerce.com/templates/alistyle-html/images/banners/slide3.jpg	(from https://bootstrap-ecommerce.com/templates/alistyle-html/page-index.html)
10:50:33	40414/40414	---M--	200	added ('OK')	image/jpeg	etag:%225da89605-9dde%22	https://bootstrap-ecommerce.com/templates/alistyle-html/images/items/1.jpg	C:/Users/91972/OneDrive/Desktop/frontendtemplate/bootstrap-ecommerce.com/templates/alistyle-html/images/items/1.jpg	(from https://bootstrap-ecommerce.com/templates/alistyle-html/page-index.html)
10:50:34	36974/36974	---M--	200	added ('OK')	image/jpeg	etag:%225da89604-906e%22	https://bootstrap-ecommerce.com/templates/alistyle-html/images/items/2.jpg	C:/Users/91972/OneDrive/Desktop/frontendtemplate/bootstrap-ecommerce.com/templates/alistyle-html/images/items/2.jpg	(from https://bootstrap-ecommerce.com/templates/alistyle-html/page-index.html)
10:50:34	28942/28942	---M--	200	added ('OK')	image/jpeg	etag:%225da89605-710e%22	https://bootstrap-ecommerce.com/templates/alistyle-html/images/items/6.jpg	C:/Users/91972/OneDrive/Desktop/frontendtemplate/bootstrap-ecommerce.com/templates/alistyle-html/images/items/6.jpg	(from https://bootstrap-ecommerce.com/templates/alistyle-html/page-index.html)
10:50:34	52094/52094	---M--	200	added ('OK')	image/jpeg	etag:%225da89604-cb7e%22	https://bootstrap-ecommerce.com/templates/alistyle-html/images/items/3.jpg	C:/Users/91972/OneDrive/Desktop/frontendtemplate/bootstrap-ecommerce.com/templates/alistyle-html/images/items/3.jpg	(from https://bootstrap-ecommerce.com/templates/alistyle-html/page-index.html)
10:50:34	30226/30226	---M--	200	added ('OK')	image/jpeg	etag:%225da89604-7612%22	https://bootstrap-ecommerce.com/templates/alistyle-html/images/items/4.jpg	C:/Users/91972/OneDrive/Desktop/frontendtemplate/bootstrap-ecommerce.com/templates/alistyle-html/images/items/4.jpg	(from https://bootstrap-ecommerce.com/templates/alistyle-html/page-index.html)
10:50:35	15891/15891	---M--	200	added ('OK')	image/jpeg	etag:%225da89604-3e13%22	https://bootstrap-ecommerce.com/templates/alistyle-html/images/items/5.jpg	C:/Users/91972/OneDrive/Desktop/frontendtemplate/bootstrap-ecommerce.com/templates/alistyle-html/images/items/5.jpg	(from https://bootstrap-ecommerce.com/templates/alistyle-html/page-index.html)
10:50:35	28948/28948	---M--	200	added ('OK')	image/jpeg	etag:%225da897aa-7114%22	https://bootstrap-ecommerce.com/templates/alistyle-html/images/items/7.jpg	C:/Users/91972/OneDrive/Desktop/frontendtemplate/bootstrap-ecommerce.com/templates/alistyle-html/images/items/7.jpg	(from https://bootstrap-ecommerce.com/templates/alistyle-html/page-index.html)
10:50:36	48117/48117	---M--	200	added ('OK')	image/jpeg	etag:%225dc6cee2-bbf5%22	https://bootstrap-ecommerce.com/templates/alistyle-html/images/items/14.jpg	C:/Users/91972/OneDrive/Desktop/frontendtemplate/bootstrap-ecommerce.com/templates/alistyle-html/images/items/14.jpg	(from https://bootstrap-ecommerce.com/templates/alistyle-html/page-index.html)
10:50:36	14142/14142	---M--	200	added ('OK')	image/jpeg	etag:%225da89604-373e%22	https://bootstrap-ecommerce.com/templates/alistyle-html/images/items/8.jpg	C:/Users/91972/OneDrive/Desktop/frontendtemplate/bootstrap-ecommerce.com/templates/alistyle-html/images/items/8.jpg	(from https://bootstrap-ecommerce.com/templates/alistyle-html/page-index.html)
10:50:36	24668/24668	---M--	200	added ('OK')	image/jpeg	etag:%225da89605-605c%22	https://bootstrap-ecommerce.com/templates/alistyle-html/images/items/9.jpg	C:/Users/91972/OneDrive/Desktop/frontendtemplate/bootstrap-ecommerce.com/templates/alistyle-html/images/items/9.jpg	(from https://bootstrap-ecommerce.com/templates/alistyle-html/page-index.html)
10:50:37	19726/19726	---M--	200	added ('OK')	image/jpeg	etag:%225da89605-4d0e%22	https://bootstrap-ecommerce.com/templates/alistyle-html/images/items/10.jpg	C:/Users/91972/OneDrive/Desktop/frontendtemplate/bootstrap-ecommerce.com/templates/alistyle-html/images/items/10.jpg	(from https://bootstrap-ecommerce.com/templates/alistyle-html/page-index.html)
10:50:37	26173/26173	---M--	200	added ('OK')	image/jpeg	etag:%225da89604-663d%22	https://bootstrap-ecommerce.com/templates/alistyle-html/images/items/11.jpg	C:/Users/91972/OneDrive/Desktop/frontendtemplate/bootstrap-ecommerce.com/templates/alistyle-html/images/items/11.jpg	(from https://bootstrap-ecommerce.com/templates/alistyle-html/page-index.html)
10:50:37	25225/25225	---M--	200	added ('OK')	image/jpeg	etag:%225dc6cb7c-6289%22	https://bootstrap-ecommerce.com/templates/alistyle-html/images/items/12.jpg	C:/Users/91972/OneDrive/Desktop/frontendtemplate/bootstrap-ecommerce.com/templates/alistyle-html/images/items/12.jpg	(from https://bootstrap-ecommerce.com/templates/alistyle-html/page-index.html)
10:50:38	60093/60093	---M--	200	added ('OK')	image/jpeg	etag:%225dce42a1-eabd%22	https://bootstrap-ecommerce.com/templates/alistyle-html/images/banners/banner9.jpg	C:/Users/91972/OneDrive/Desktop/frontendtemplate/bootstrap-ecommerce.com/templates/alistyle-html/images/banners/banner9.jpg	(from https://bootstrap-ecommerce.com/templates/alistyle-html/page-index.html)
10:50:38	65383/65383	---M--	200	added ('OK')	image/jpeg	etag:%225dce4411-ff67%22	https://bootstrap-ecommerce.com/templates/alistyle-html/images/posts/1.jpg	C:/Users/91972/OneDrive/Desktop/frontendtemplate/bootstrap-ecommerce.com/templates/alistyle-html/images/posts/1.jpg	(from https://bootstrap-ecommerce.com/templates/alistyle-html/page-index.html)
10:50:38	45300/45300	---M--	200	added ('OK')	image/jpeg	etag:%225ddcde67-b0f4%22	https://bootstrap-ecommerce.com/templates/alistyle-html/images/posts/2.jpg	C:/Users/91972/OneDrive/Desktop/frontendtemplate/bootstrap-ecommerce.com/templates/alistyle-html/images/posts/2.jpg	(from https://bootstrap-ecommerce.com/templates/alistyle-html/page-index.html)
10:50:38	46035/46035	---M--	200	added ('OK')	image/jpeg	etag:%225ddcde32-b3d3%22	https://bootstrap-ecommerce.com/templates/alistyle-html/images/posts/3.jpg	C:/Users/91972/OneDrive/Desktop/frontendtemplate/bootstrap-ecommerce.com/templates/alistyle-html/images/posts/3.jpg	(from https://bootstrap-ecommerce.com/templates/alistyle-html/page-index.html)
10:50:39	51007/51007	---M--	200	added ('OK')	image/jpeg	etag:%225ddcdd6e-c73f%22	https://bootstrap-ecommerce.com/templates/alistyle-html/images/posts/4.jpg	C:/Users/91972/OneDrive/Desktop/frontendtemplate/bootstrap-ecommerce.com/templates/alistyle-html/images/posts/4.jpg	(from https://bootstrap-ecommerce.com/templates/alistyle-html/page-index.html)
10:50:39	1333/1333	---M--	200	added ('OK')	image/png	etag:%225ddce010-535%22	https://bootstrap-ecommerce.com/templates/alistyle-html/images/icons/flags/CN.png	C:/Users/91972/OneDrive/Desktop/frontendtemplate/bootstrap-ecommerce.com/templates/alistyle-html/images/icons/flags/CN.png	(from https://bootstrap-ecommerce.com/templates/alistyle-html/page-index.html)
10:50:39	557/557	---M--	200	added ('OK')	image/png	etag:%225ddce010-22d%22	https://bootstrap-ecommerce.com/templates/alistyle-html/images/icons/flags/DE.png	C:/Users/91972/OneDrive/Desktop/frontendtemplate/bootstrap-ecommerce.com/templates/alistyle-html/images/icons/flags/DE.png	(from https://bootstrap-ecommerce.com/templates/alistyle-html/page-index.html)
10:50:39	2516/2516	---M--	200	added ('OK')	image/png	etag:%225ddce010-9d4%22	https://bootstrap-ecommerce.com/templates/alistyle-html/images/icons/flags/AU.png	C:/Users/91972/OneDrive/Desktop/frontendtemplate/bootstrap-ecommerce.com/templates/alistyle-html/images/icons/flags/AU.png	(from https://bootstrap-ecommerce.com/templates/alistyle-html/page-index.html)
10:50:40	611/611	---M--	200	added ('OK')	image/png	etag:%225ddce010-263%22	https://bootstrap-ecommerce.com/templates/alistyle-html/images/icons/flags/RU.png	C:/Users/91972/OneDrive/Desktop/frontendtemplate/bootstrap-ecommerce.com/templates/alistyle-html/images/icons/flags/RU.png	(from https://bootstrap-ecommerce.com/templates/alistyle-html/page-index.html)
10:50:40	1076/1076	---M--	200	added ('OK')	image/png	etag:%225ddce010-434%22	https://bootstrap-ecommerce.com/templates/alistyle-html/images/icons/flags/IN.png	C:/Users/91972/OneDrive/Desktop/frontendtemplate/bootstrap-ecommerce.com/templates/alistyle-html/images/icons/flags/IN.png	(from https://bootstrap-ecommerce.com/templates/alistyle-html/page-index.html)
10:50:40	2787/2787	---M--	200	added ('OK')	image/png	etag:%225ddce010-ae3%22	https://bootstrap-ecommerce.com/templates/alistyle-html/images/icons/flags/GB.png	C:/Users/91972/OneDrive/Desktop/frontendtemplate/bootstrap-ecommerce.com/templates/alistyle-html/images/icons/flags/GB.png	(from https://bootstrap-ecommerce.com/templates/alistyle-html/page-index.html)
10:50:41	1564/1564	---M--	200	added ('OK')	image/png	etag:%225ddce010-61c%22	https://bootstrap-ecommerce.com/templates/alistyle-html/images/icons/flags/TR.png	C:/Users/91972/OneDrive/Desktop/frontendtemplate/bootstrap-ecommerce.com/templates/alistyle-html/images/icons/flags/TR.png	(from https://bootstrap-ecommerce.com/templates/alistyle-html/page-index.html)
10:50:41	1093/1093	---M--	200	added ('OK')	image/png	etag:%225ddce010-445%22	https://bootstrap-ecommerce.com/templates/alistyle-html/images/icons/flags/UZ.png	C:/Users/91972/OneDrive/Desktop/frontendtemplate/bootstrap-ecommerce.com/templates/alistyle-html/images/icons/flags/UZ.png	(from https://bootstrap-ecommerce.com/templates/alistyle-html/page-index.html)
